reviewer,rating,title,date,review
Melissa,5,Great headphones,2023年10月16日在美國評論,"The fit is great, they don’t move at all during a run. Sound is great, connection is great"
Jacob Joyner,5,Nice,2023年10月15日在美國評論,Good product that fits nicely and is surprisingly loud yet comfortable.  Included charge cord is nice because companies seem to be skiking including those as of late to protect the environment but buying a replacement has even more packaging defeating the whole purpose and making a money grab.
VP ED Selector,5,Best headphones compared to in the ear styles,2023年10月15日在美國評論,"Excellent sounded and very user friendly, works great when working out and long walks"
JP,4,nice headphones,2023年10月14日在美國評論,nice headphones. would be better if they were adjustable in size. nice sound. easy to pair with phone.
Ollie,5,Love them so far,2023年10月13日在美國評論,"I LOVE these headphones. I struggle finding headphones that are comfortable to wear, and I won't lose them. Buds that go in the ear hurt, even with the smallest size inner ear piece, and other bones which I've tried, fall off easily. With these, they're discreet, I can still hear my surroundings (I don't like noise.cancelling) if I want to, I like the behind the neck design, and most importantly,  I can sleep with them on. I have headband flat headphones, but the wires on those go bad quickly. I have high hopes for the durability of these."
Chris,5,A safe way to listen to music while riding your bike,2023年10月13日在美國評論,They are comfortable and I don't have to worry about them falling off. Its convenient for when I ride my bike because I can pay attention to what's around me while having music playing without blocking out my hearing. This is not the product if your going for the best sound quality but it does have really good battery life. I use it everyday and it can last about 2 weeks on 1 charge.
s.rosario,5,Works Great,2023年10月12日在美國評論,Works great wish it had a little more volume.
Liquitta Doyle,3,Disconnects randomly,2023年10月12日在美國評論,Sounds great but it disconnects at random moments while in use even when fully charged.
Denesis & Pablo,5,Perfect,2023年10月11日在美國評論,I love the quality. I recommend it
Rorie,4,microphone not great but okay,2023年10月11日在美國評論,I like the sound well enough and it's certainly a good value.....
Peter Onah Thompson,4,It is sturdy and great,2023年10月11日在美國評論,"I love that it is sturdy and stays with me even when I forgot that I have it on it. My only concern and why I did not give a 5 star rating is the power of the Bluetooth. With my other headphone, I could leave my phone in the bedroom and move around the house with it and still be well connected. But with this one I could not. I start to loose connection the moment there seem to be a wall between me and my phone. Other than that, I have no complain at all."
THOMAS W RIES,5,Satisfied customer,2023年10月10日在美國評論,surprisingly comfortable and easy usage
Rahsaan Bailey-King,1,Product is not water proof or even water resistant,2023年10月9日在美國評論,Product worked great for about two weeks then one of the ears got water damaged due to sweat.
Jack Falter,1,No volume control on headset,2023年10月9日在美國評論,There is no volume control on the headset you have to control the volume for your phone who does that nowadays
Byron M. Grossnckle,5,Great set of headphones,2023年10月9日在美國評論,Better than the last set I owned (from a different company).  Plenty of volume and decent battery life.
Amazon Customer,4,Confortable and easy to use,2023年10月8日在美國評論,Confortable and easy to use.  Like it because can here music and at the same time be aware of my surroundings.
Maria Campbell,5,worked out of the box and had a good price,2023年10月8日在美國評論,It worked right out of the box.  it has a good sound and the battery life is good.
George Carr,4,Out of ear,2023年10月7日在美國評論,I like it but it's not good if there's a lot of noise outside because it makes it harder to hear it. But if you're cycling or need to be aware of your surroundings it's excellent
Dustin,5,Great price and reliability!,2023年10月7日在美國評論,Ordered these headphones for work and they work great!
Paul F Gardner,5,It works very well,2023年10月7日在美國評論,"Wrist easily on my head and it’s easy to carry around on my neck all during the day so when I went to listen to podcasts and things with other people present, I can do it easily"
Jamey,1,Done after 4 months,2023年11月8日在美國評論,"These headphones started giving me a beeping sound like they were running out of juice, even though they were at 90%. So something's broke and I keep hearing beeping noises along with my music. Not a fan."
Brittany A Hofstra,1,They do NOT last,2023年11月8日在美國評論,I purchased these two months ago and they have already quit working.  They will no longer accept a charge or turn on.  Of course it is outside of the return window.  Don't waste your money if you want a product that will last more than two months.
Sara Dykstra,3,Not pleased,2023年11月2日在美國評論,"Repeatedly kept shutting off by itself; also shut off completely over and over, and I’d have to turn it back on again - very annoying"
Rick,5,Sound is good,2023年10月30日在美國評論,"I wear these on my bicycle.  The sound is good while allowing you to hear cars, and people around you.  They are so comfortable I forget I have them on."
Amazon Customer,1,Trash,2023年10月29日在美國評論,Bad sizing and connection
Sylvia,1,Stopped working,2023年10月26日在美國評論,Worked great h til it doesn’t. Worked yesterday. Today it is dead. Unable to charge. No response. No lights or tones.  Doesn’t last but month.
courtney keller,4,Good for running,2023年10月24日在美國評論,"Great for the price point. They hardly move when running, sound can be a little off at times but adjusting the headphones usually fixes it."
