reviewer,rating,title,date,review
James J.,5.0 顆星，最高 5 顆星,Great for everything,2023年11月10日在美國評論,In construction i have to be able to hear the outside world and have a wonderful sounding quality bluetooth device to make calls and listen to music. The open ears allow just that.
Cintia,5.0 顆星，最高 5 顆星,On Calls all day,2023年11月7日在美國評論,I work in sales and use these as my day to day headphones. I'm on calls all day and the air induction allows me to hear everything crystal clear.
Vickie,5.0 顆星，最高 5 顆星,the design very cool and comfortable,2023年11月4日在美國評論,"The first reason i wanna buy this one, cuz i dont like in ear earbuds which not comfortable and painful.I tried this one when i jump or dance which don't fall, and i feel very comfortable. iThe second reason is that the price is very reasonable and  i really like the design."
Alicia E.,5.0 顆星，最高 5 顆星,Great headphone,2023年11月4日在美國評論,"Great head phones. I love the over the ear style because they stay in better, especially when Im moving around."
Shouhui Yang,5.0 顆星，最高 5 顆星,long-last sports earbuds,2023年11月4日在美國評論,"I've been using Apple AirPods Pro for a few years, but each time I charge them, they only work for a few hours and need frequent recharging. They are not very convenient for sports activities either. This time, after extensive research, I found these Open Air Buds. With one charge, they can work for 6-8 hours, and the charging case can last for almost a week. They are more convenient for sports. However, they are on the larger side and are more suitable for men. I highly recommend them with a five-star rating."
Bradley Cunningham,5.0 顆星，最高 5 顆星,Good sound and comfortable,2023年11月4日在美國評論,These headphones sit outside your ear but the sound is great and they are comfortable since they don’t enter your ears. Overall good headphones for comfort.
Amanda C.,5.0 顆星，最高 5 顆星,Wow,2023年11月4日在美國評論,"These sit outside of your ear, which takes some time to get used to, but the sound quality is amazing. My husband sitting next to me couldn't hear what I was listening to, but I heard it clearly."
john-,1.0 顆星，最高 5 顆星,"Hard to operate, left bud did not work most of the time.",2023年11月3日在美國評論,"In a word; trash. The left side had worse sound and then did not connect half the time. As it was also the volume lessening button, it would consistently just keep lowering the volume without being pushed."
Saifuddin Ahmed,5.0 顆星，最高 5 顆星,Good quality Sound with long battery backup,2023年11月3日在美國評論,Good quality Sound with long battery backup
Xtian,5.0 顆星，最高 5 顆星,Cool Earbuds!,2023年11月2日在美國評論,"They are well made. The sound quality is good, and they fit securely. Even through playing with my German Shepherd they stay on. Noise cancellation is good and they are comfortable. The case has good charging indicators which is a very nice feature."
Kyle W,5.0 顆星，最高 5 顆星,Comfortable and sound great!,2023年11月2日在美國評論,I like these headphones because they don't go inside of my ear.  Comfortable and sound very nice.  Good value.  Battery life seems good so far.  Nice when I’m walking for exercise.
Xuetong,5.0 顆星，最高 5 顆星,"high-quality, versatile, and long-lasting wireless earbud solution",2023年11月2日在美國評論,"These wireless earbuds offer a unique open fit design that not only delivers exceptional sound quality with deep bass but also allows me to stay aware of my surroundings during workouts. I appreciate the built-in microphone, which is perfect for hands-free calls. The earbuds are comfortable to wear for extended periods and stay securely in place during physical activities."
Henry,5.0 顆星，最高 5 顆星,It is a really great product.,2023年11月2日在美國評論,I liked everything about it. It sounds perfect. Battery life is great.
Kim Kerr,5.0 顆星，最高 5 顆星,Great sound and so comfortable,2023年11月1日在美國評論,"I bought these for my husband, the music fanatic at our house. He loves them!  The sound is really good and the ear buds don’t go inside your ear so the are super comfy. My ears end up hurting after a while with my Apple earbuds so these are great when I’m able to borrow them. Maybe I’ll get another pair!"
